Module                  Size  Used by
intel_rapl_common      40960  2 intel_rapl_msr,processor_thermal_rapl
snd                   143360  25 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
i2c_i801               36864  0
mei_me                 53248  2
processor_thermal_wt_req    12288  1 processor_thermal_device
rc_core                73728  1 cec
spi_intel_pci          12288  0
ecdh_generic           16384  1 bluetooth
processor_thermal_power_floor    12288  2 processor_thermal_device_pci,processor_thermal_device
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
nvidia_wmi_ec_backlight    12288  0
libarc4                12288  1 mac80211
spi_intel              32768  1 spi_intel_pci
i2c_smbus              16384  1 i2c_i801
soundcore              16384  2 snd_ctl_led,snd
i2c_algo_bit           16384  3 xe,i915,nouveau
igen6_edac             24576  0
ecc                    45056  1 ecdh_generic
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
ideapad_laptop         61440  0
sparse_keymap          12288  1 ideapad_laptop
intel_pmc_core        118784  0
platform_profile       12288  1 ideapad_laptop
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
int3400_thermal        24576  0
int3403_thermal        16384  0
pmt_class              12288  1 pmt_telemetry
acpi_thermal_rel       20480  1 int3400_thermal
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
acpi_pad              184320  0
joydev                 32768  0
input_leds             12288  0
serio_raw              20480  0
mac_hid                12288  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
usbhid                 77824  0
btrfs                2043904  0
blake2b_generic        24576  0
raid10                 73728  0
raid456               196608  0
async_raid6_recov      20480  1 raid456
async_memcpy           16384  2 raid456,async_raid6_recov
async_pq               20480  2 raid456,async_raid6_recov
async_xor              16384  3 async_pq,raid456,async_raid6_recov
async_tx               16384  5 async_pq,async_memcpy,async_xor,raid456,async_raid6_recov
xor                    20480  2 async_xor,btrfs
raid6_pq              126976  4 async_pq,btrfs,raid456,async_raid6_recov
libcrc32c              12288  2 btrfs,raid456
raid1                  57344  0
raid0                  24576  0
dm_mirror              24576  0
dm_region_hash         24576  1 dm_mirror
dm_log                 20480  2 dm_region_hash,dm_mirror
hid_multitouch         36864  0
hid_generic            12288  0
crct10dif_pclmul       12288  1
crc32_pclmul           12288  0
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
nvme                   61440  2
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
nvme_core             212992  3 nvme
sha1_ssse3             32768  0
ucsi_acpi              12288  0
r8169                 118784  0
intel_lpss_pci         28672  0
typec_ucsi             61440  1 ucsi_acpi
intel_lpss             12288  1 intel_lpss_pci
realtek                36864  1
i2c_hid_acpi           12288  0
xhci_pci               24576  0
typec                 106496  1 typec_ucsi
nvme_auth              28672  1 nvme_core
idma64                 20480  0
xhci_pci_renesas       20480  1 xhci_pci
i2c_hid                40960  1 i2c_hid_acpi
hid                   180224  4 i2c_hid,usbhid,hid_multitouch,hid_generic
video                  77824  5 nvidia_wmi_ec_backlight,ideapad_laptop,xe,i915,nouveau
wmi                    28672  7 video,nvidia_wmi_ec_backlight,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop,mxm_wmi,nouveau
pinctrl_tigerlake      28672  1
aesni_intel           356352  5
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
